,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31
GP,au,cn,cn,jp,be,be,hu,bh,sa,us,us,nl,it,it,az,mc,sg,es,us,us,mx,ca,br,br,at,at,us,qa,ae,ae,gb
P1,Antonino,Antonino,Thiago,Antonino,Teodoro,Teodoro,Matias Verdugo,Antonino,Marcio Schuchter,Teodoro,Teodoro,Antonino,Antonino,Antonino,Heliakim,Antonino,,,,,,,,,,,,,,,
P2,Teodoro,Gaston,Teodoro,Marcio Schuchter,Erick,Marcio Schuchter,Teodoro,Joaquín,Antonino,Antonino,Antonino,Heliakim,Iranildo,Wellington,Rodrigo Guaxi,Heliakim,,,,,,,,,,,,,,,
P3,Wellington,Marcio Schuchter,Antonino,Jo Caiana,Julian,Iranildo,Thiago,Thiago,Wellington,Hernan,Hernan,Teodoro,Erick,Teodoro,Antonino,Ronaldo Lisboa,,,,,,,,,,,,,,,
P4,Marcio Schuchter,Hiran Pelosi,Gaston,Rafael Lemes,Gaston,Danilo,Heliakim,Wellington,Heliakim,Hiran Pelosi,Iranildo,Wellington,Marcio Schuchter,Thiago,Teodoro,Teodoro,,,,,,,,,,,,,,,
P5,Thiago,Aysllan,Rafael Lemes,Hiran Pelosi,Matias Verdugo,Julian,Antonino,Iranildo,Joaquín,Iranildo,Hiran Pelosi,Marcio Schuchter,Jo Caiana,Jo Caiana,Thiago,Adriano Tahariel,,,,,,,,,,,,,,,
P6,Hernan,Matias Verdugo,Hiran Pelosi,Aysllan,Antonino,Wellington,Jo Caiana,Hernan,Aysllan,Ronaldo Lisboa,Wellington,Ronaldo Lisboa,Aysllan,Heliakim,Iranildo,Thiago,,,,,,,,,,,,,,,
P7,Julian,Joaquín,Marcio Schuchter,Matias Verdugo,Thiago,Gaston,Aysllan,Rafael Lemes,Ronaldo Lisboa,Wellington,Julian,Hiran Pelosi,Hiran Pelosi,Marcio Schuchter,Ronaldo Lisboa,Wellington,,,,,,,,,,,,,,,
P8,Jo Caiana,Teodoro,Aysllan,Danilo,Hiran Pelosi,Aysllan,Wellington,Marcio Schuchter,Matias Verdugo,Marcio Schuchter,Ronaldo Lisboa,Matias Verdugo,Rafael Lemes,Rafael Lemes,Wellington,Rodrigo Guaxi,,,,,,,,,,,,,,,
P9,Ronaldo Lisboa,Julian,Julian,Michael Lopes,Marcio Schuchter,Rafael Lemes,Hiran Pelosi,Julian,Rafael Lemes,Julian,Adriano Tahariel,Jo Caiana,Michael Lopes,Joaquín,Rafael Lemes,Matias Verdugo,,,,,,,,,,,,,,,
P10,Hiran Pelosi,Jo Caiana,Heliakim,Joaquín,Danilo,Ronaldo Lisboa,Marcio Schuchter,Aysllan,Thiago,Thiago,Joaquín,Adriano Tahariel,,Michael Lopes,Marcio Schuchter,Rafael Lemes,,,,,,,,,,,,,,,
P11,Matias Verdugo,Heliakim,Matias Verdugo,Thiago,Ronaldo Lisboa,Matias Verdugo,Gaston,Ronaldo Lisboa,Jo Caiana,Rafael Lemes,Rafael Lemes,Erick,,Adriano Tahariel,Hiran Pelosi,,,,,,,,,,,,,,,,
P12,Rafael Lemes,Leonardo,Jo Caiana,Teodoro,Wellington,Thiago,Joaquín,Matias Verdugo,Danilo,Erick,Marcio Schuchter,Thiago,,Aysllan,Julian,,,,,,,,,,,,,,,,
P13,Adriano Tahariel,Ronaldo Lisboa,Leonardo,Adriano Tahariel,Joaquín,Leonardo,Ronaldo Lisboa,Danilo,Michael Lopes,Joaquín,Jo Caiana,Joaquín,,Ronaldo Lisboa,Aysllan,,,,,,,,,,,,,,,,
P14,Iranildo,Thiago,Michael Lopes,Leonardo,Aysllan,Joaquín,Rafael Lemes,Michael Lopes,Hiran Pelosi,Jo Caiana,,Rafael Lemes,,Hiran Pelosi,,,,,,,,,,,,,,,,,
P15,,Adriano Tahariel,Ronaldo Lisboa,Ronaldo Lisboa,Jo Caiana,Hiran Pelosi,Julian,Erick,Teodoro,,,,,Julian,,,,,,,,,,,,,,,,,
P16,,Michael Lopes,Joaquín,,Iranildo,Michael Lopes,Hernan,,Adriano Tahariel,,,,,Erick,,,,,,,,,,,,,,,,,
P17,,Rafael Lemes,Iranildo,,Rafael Lemes,Jo Caiana,,,Iranildo,,,,,Matias Verdugo,,,,,,,,,,,,,,,,,
P18,,Danilo,Adriano Tahariel,,Michael Lopes,Adriano Tahariel,,,,,,,,Danilo,,,,,,,,,,,,,,,,,
P19,,,Danilo,,Leonardo,Antonino,,,,,,,,,,,,,,,,,,,,,,,,,
P20,,,Andres,,Adriano Tahariel,Erick,,,,,,,,,,,,,,,,,,,,,,,,,
P21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23,Erick,Erick,Erick,Heliakim,,,Adriano Tahariel,Andres,,Danilo,Thiago,Julian,Wellington,,Matias Verdugo,Hiran Pelosi,,,,,,,,,,,,,,,
P24,Gaston,Iranildo,,Erick,,,Danilo,,,Adriano Tahariel,Danilo,,Danilo,,Joaquín,Marcio Schuchter,,,,,,,,,,,,,,,
P25,Heliakim,Andres,,Iranildo,,,Erick,,,Matias Verdugo,Matias Verdugo,,Adriano Tahariel,,Adriano Tahariel,Michael Lopes,,,,,,,,,,,,,,,
P26,Joaquín,,,,,,Iranildo,,,,Erick,,Ronaldo Lisboa,,Jo Caiana,Jo Caiana,,,,,,,,,,,,,,,
P27,Leonardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28,Michael Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P29,Aysllan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
