Piloto,Country,Points,Win,Podium,Top 10,FL,Pole,DOTD,CD,DNF,Entries,Equipe,teamcolor,,best,worst,3piores,final,Display
Antonino,ar,539,11,20,23,8,16,0,5,0,24,Rodin,27292D,,P1,P19,33,506,Antonino
Marcio Schuchter,br,347,1,6,21,0,0,1,3,1,24,Prema,ED0100,,P1,P12,19,328,Marcio Schuchter
Wellington,br,318,1,7,18,1,0,4,0,2,21,ART,D00000,,P1,P12,0,318,Wellington
Teodoro,br,295,4,10,14,2,0,0,1,3,21,Trident,293780,,P1,P15,0,295,Teodoro
Ronaldo Lisboa,br,276,0,1,16,0,0,1,0,1,24,VAR,C86124,,P3,P15,12,264,Ronaldo Lisboa
Rafael Lemes,br,278,0,0,16,0,0,1,2,0,24,Campos Racing,bf2c09,,P4,P17,15,263,Rafael Lemes
Hiran Pelosi,br,263,0,0,16,0,1,1,0,1,21,ART,D00000,,P4,P15,0,263,Hiran Pelosi
Joaquín,ar,248,0,3,13,0,0,0,0,3,23,Rodin,27292D,,P2,P16,0,248,Joaquín
Jo Caiana,br,215,0,1,11,0,0,2,1,4,22,Invicta,FDFE01,,P3,P17,0,215,Jo Caiana
Matias Verdugo,ar,187,1,1,10,0,0,0,0,4,19,MP,e26606,,P1,P17,0,187,Matias Verdugo
Rodrigo Guaxi,br,221,4,8,10,6,2,1,1,0,10,Campos Racing,bf2c09,,P1,P8,0,221,Rodrigo Guaxi
Iranildo,br,157,0,2,8,0,0,4,0,3,15,Hitech,8a8b94,,P2,P17,0,157,Iranildo
Heliakim,br,152,1,3,8,3,0,0,0,3,12,AIX,67e70d,,P1,P11,0,152,Heliakim
Adriano Tahariel,br,168,0,0,7,0,0,1,1,4,23,AIX,67e70d,,P5,P20,0,168,Adriano Tahariel
Aysllan,br,141,0,0,8,0,0,2,2,2,13,VAR,C86124,,P5,P14,0,141,Aysllan
Julian,ar,135,0,1,8,0,1,1,1,1,12,Dams,159ecb,,P3,P15,0,135,Julian
Gaston,ar,78,0,1,4,0,0,0,0,1,6,Dams,159ecb,,P2,P11,0,78,Gaston
Michael Lopes,br,69,0,0,3,0,0,0,0,2,11,Invicta,FDFE01,,P9,P18,0,69,Michael Lopes
Danilo,br,64,0,0,3,0,0,1,0,4,12,MP,293780,,P4,P19,0,64,Danilo
Leonardo,br,36,0,0,0,0,0,0,2,1,6,Hitech,8a8b94,,P12,P19,0,36,Leonardo
Rossi,br,23,0,0,1,0,0,0,0,0,2,Hitech,8a8b94,,P4,P13,0,23,Rossi
Julio,br,18,,,,,,,,,,AIX,67e70d,,,,0,18,Julio
Caralbro,br,33,,,,,,,,,,Prema,ED0100,,,,0,33,Caralbro
Vikuluca,ar,45,,,,,,,,,,Trident,293780,,,,0,45,Vikuluca
Thiago1,br,0,0,0,0,0,0,0,0,0,0,,ED0100,,P999,P0,#N/A,#N/A,Thiago1
Hernan1,ar,0,0,0,0,0,0,0,0,0,0,Trident,293780,,P999,P0,#N/A,#N/A,Hernan1
Kleene,nl,0,0,0,0,0,0,0,0,2,2,Hitech,8a8b94,,P999,P0,0,0,Kleene
Edson,br,22,0,0,1,0,0,0,0,1,3,MP,e26606,,P6,P22,0,22,Edson
