,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31
GP,au,cn,cn,jp,be,be,hu,bh,sa,us,us,nl,it,it,az,mc,sg,es,us,us,mx,ca,br,br,at,at,us,qa,ae,ae,gb
P1,andres,gunner,gunner,gunner,gunner,gunner,gunner,gunner,henrique,henrique,henrique,jestem,andres,henrique,henrique,henrique,henrique,henrique,henrique,henrique,bruno,henrique,rafael lava,henrique,,,,,,,
P2,carlos,rafael sanches,heliakim,carlos,henrique,henrique,henrique,henrique,gunner,gunner,gunner,gunner,gunner,gunner,gunner,gunner,carlos,gunner,gunner,gunner,rafael lava,bruno,henrique,gunner,,,,,,,
P3,gunner,andres,hiran,henrique,jestem,jestem,micaely,rafael lemes,andres,andres,carlos,henrique,henrique,carlos,quezadoe,carlos,tahariel,quezadoe,carlos,carlos,henrique,gunner,joaquín,carlos,,,,,,,
P4,henrique,razor,wellington,rafael sanches,andres,Hernan,andres,quezadoe,carlos,Hernan,andres,carlos,rudnei,andres,wellington,quezadoe,quezadoe,heliakim,rudnei,rudnei,gunner,rafael lava,jestem,jestem,,,,,,,
P5,Hernan,carlos,verdugo,Hernan,quezadoe,quezadoe,wellington,rudnei,Hernan,carlos,wellington,Hernan,carlos,wellington,ftronc,wellington,verdugo,tahariel,quezadoe,quezadoe,joaquín,carlos,carlos,rudnei,,,,,,,
P6,razor,Hernan,rafael lemes,andres,razor,hiran,razor,verdugo,wellington,hiran,quezadoe,heliakim,wellington,quezadoe,rafael lemes,rudnei,alexandro,rafael lemes,joao,tahariel,carlos,ftronc,wellington,joaquín,,,,,,,
P7,gilvan,gilvan,andres,quezadoe,wellington,carlos,carlos,alexandro,alexandro,wellington,alexandro,andres,quezadoe,rudnei,rudnei,tahariel,heliakim,alexandro,ftronc,ftronc,ftronc,rudnei,hiran,verdugo,,,,,,,
P8,hiran,quezadoe,razor,verdugo,heliakim,wellington,verdugo,razor,gilvan,tahariel,rafael lemes,hiran,tahariel,hiran,joao,ftronc,joao,ftronc,rafael lemes,joao,quezadoe,hiran,victor,hiran,,,,,,,
P9,quezadoe,alexandro,carlos,heliakim,gilvan,andres,quezadoe,hiran,quezadoe,rafael lemes,rudnei,rafael lemes,gilvan,rafael lemes,alexandro,rafael lemes,razor,hiran,ricardo,rafael lemes,rudnei,alexandro,alexandro,wellington,,,,,,,
P10,ricardo,rudnei,alexandro,hiran,rafael lemes,verdugo,hiran,heliakim,joao,alexandro,tahariel,quezadoe,verdugo,gilvan,razor,razor,hiran,joao,tahariel,ricardo,wellington,tahariel,verdugo,quezadoe,,,,,,,
P11,rudnei,rafael lemes,ricardo,alexandro,jean,razor,gilvan,gilvan,tahariel,verdugo,ricardo,ricardo,hiran,tahariel,verdugo,,rudnei,carlos,razor,hiran,alexandro,jestem,gunner,vikuluca,,,,,,,
P12,alexandro,ricardo,rudnei,rafael lemes,verdugo,tahariel,tahariel,ricardo,ricardo,rudnei,hiran,tahariel,jean,verdugo,heliakim,,,verdugo,,razor,rafael lemes,joaquín,vikuluca,tahariel,,,,,,,
P13,wellington,jean,quezadoe,tahariel,hiran,rafael lemes,rafael lemes,wellington,hiran,ricardo,Hernan,joao,rafael lemes,joao,,,,,,,vikuluca,,rudnei,alexandro,,,,,,,
