,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31
P14,,jestem,jean,razor,alexandro,alexandro,alexandro,joao,rafael lemes,quezadoe,,,alexandro,,,,,,,,hiran,,tahariel,rafael lemes,,,,,,,
P15,,verdugo,joao,ricardo,rudnei,ricardo,jean,jean,,joao,,,,,,,,,,,tahariel,,quezadoe,victor,,,,,,,
P16,,wellington,jestem,joao,ricardo,joao,,,,,,,,,,,,,,,joao,,joao,joao,,,,,,,
P17,,tahariel,,,,jean,,,,,,,,,,,,,,,,,,,,,,,,,
P18,,joao,,,,gilvan,,,,,,,,,,,,,,,,,,,,,,,,,
P19,,hiran,,,,rudnei,,,,,,,,,,,,,,,,,,,,,,,,,
P20,,,,,,heliakim,,,,,,,,,,,,,,,,,,,,,,,,,
P21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23,tahariel,heliakim,rafael sanches,gilvan,joao,,rafael sanches,andres,,,joao,razor,heliakim,jean,andres,joao,gunner,rudnei,hiran,verdugo,,joao,,rafael lava,,,,,,,
P24,joao,,Hernan,,Hernan,,jestem,,rudnei,,verdugo,verdugo,,,jean,verdugo,wellington,razor,verdugo,,,teodoro,,,,,,,,,
P25,verdugo,,gilvan,,Martins,,,,verdugo,,,wellington,,,carlos,andres,ftronc,,,,,quezadoe,,,,,,,,,
P26,,,tahariel,,tahariel,,,,razor,,,alexandro,,,tahariel,alexandro,,,,,,vikuluca,,,,,,,,,
P27,,,,,carlos,,,,,,,,,,,,,,,,,,,,,,,,,,
P28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P40,,,,,,,,,,,,,,heliakim,,,,,,,,,,,,,,,,,
P41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P44,rafael lemes,henrique,henrique,wellington,carlos,rafael sanches,Hernan,carlos,heliakim,razor,razor,jean,rafael sanches,rafael sanches,rafael sanches,rafael sanches,rafael sanches,rafael sanches,rafael sanches,rafael sanches,gilvan,rafael sanches,rafael sanches,rafael sanches,,,,,,,
P45,heliakim,micaely,micaely,rudnei,rafael sanches,micaely,ricardo,Hernan,jestem,gilvan,gilvan,rudnei,micaely,micaely,micaely,micaely,micaely,micaely,micaely,micaely,verdugo,micaely,micaely,micaely,,,,,,,
P46,jestem,,,jestem,micaely,,heliakim,jestem,rafael sanches,heliakim,heliakim,rafael sanches,Hernan,Hernan,Hernan,Hernan,Hernan,Hernan,Hernan,Hernan,ricardo,jean,jean,jean,,,,,,,
P47,rafael sanches,,,jean,,,rudnei,rafael sanches,jean,jestem,jestem,micaely,joao,ricardo,ricardo,ricardo,ricardo,ricardo,ricardo,gilvan,jestem,andres,andres,andres,,,,,,,
P48,jean,,,micaely,,,joao,tahariel,micaely,rafael sanches,rafael sanches,gilvan,ricardo,alexandro,gilvan,gilvan,gilvan,gilvan,gilvan,jestem,razor,heliakim,heliakim,heliakim,,,,,,,
P49,micaely,,,,,,,micaely,,jean,jean,,jestem,jestem,hiran,hiran,jestem,jestem,jestem,jean,rafael sanches,Hernan,Hernan,Hernan,,,,,,,
P50,,,,,,,,,,micaely,micaely,,razor,razor,jestem,jestem,jean,jean,jean,andres,micaely,gilvan,gilvan,gilvan,,,,,,,
P51,,,,,,,,,,,,,,,,jean,rafael lemes,andres,andres,wellington,jean,wellington,ftronc,ftronc,,,,,,,
P52,,,,,,,,,,,,,,,,heliakim,andres,wellington,wellington,alexandro,andres,rafael lemes,rafael lemes,,,,,,,,
P53,,,,,,,,,,,,,,,,,,,alexandro,heliakim,heliakim,verdugo,,,,,,,,,
P54,ftronc,ftronc,ftronc,ftronc,ftronc,ftronc,ftronc,ftronc,ftronc,ftronc,ftronc,ftronc,ftronc,ftronc,,,,,heliakim,,hernan,razor,razor,razor,,,,,,,
P55,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,rafael lava,,ricardo,ricardo,ricardo,,,,,,,
P56,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,joaquín,,,,,,,,,,,
P57,bruno,bruno,bruno,bruno,bruno,bruno,bruno,bruno,bruno,bruno,bruno,bruno,bruno,bruno,bruno,bruno,bruno,bruno,bruno,bruno,,,bruno,bruno,,,,,,,
P58,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,vikuluca,,,,,,,,,,,
P59,victor,victor,victor,victor,victor,victor,victor,victor,victor,victor,victor,victor,victor,victor,victor,victor,victor,victor,victor,victor,victor,victor,,,,,,,,,
P60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,wellington,gunner,Rafael Sanches,henrique,henrique,jestem,henrique,wellington,gunner,henrique,henrique,jestem,henrique,,henrique,henrique,henrique,henrique,gunner,gunner,bruno,rafael lava,victor,jestem,,,,,,,
Pole,andres,Rafael Sanches,gunner,andres,gunner,gunner,henrique,henrique,gunner,henrique,henrique,henrique,andres,henrique,henrique,henrique,,henrique,henrique,henrique,bruno,henrique,henrique,henrique,,,,,,,
DOTD,hiran,,rafael lemes,,,wellington,hiran,,andres,,,heliakim,henrique,rafael lemes,joao,,tahariel,heliakim,,joao,carlos,ftronc,,jestem,,,,,,,
CD,carlos,,rafael lemes,henrique,,verdugo,alexandro,heliakim,andres,,carlos,,henrique,rafael lemes,,henrique,carlos,,,rudnei,carlos,ftronc,,carlos,,,,,,,
