,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31
P23,Erick,Erick,Erick,Heliakim,,,Adriano Tahariel,Andres,,Danilo,Thiago,Julian,Wellington,,Matias Verdugo,Hiran Pelosi,Matias Verdugo,Aysllan,Teodoro,,Teodoro,Jo Caiana,Jo Caiana,,,,,,,,
P24,Gaston,Iranildo,,Erick,,,Danilo,,,Adriano Tahariel,Danilo,,Danilo,,Joaquín,Marcio Schuchter,,,,,Edson,Kleene,Wellington,,,,,,,,
P25,Heliakim,Andres,,Iranildo,,,Erick,,,Matias Verdugo,Matias Verdugo,,Adriano Tahariel,,Adriano Tahariel,Michael Lopes,,,,,Kleene,Julio,,,,,,,,,
P26,Joaquín,,,,,,Iranildo,,,,Erick,,Ronaldo Lisboa,,Jo Caiana,Jo Caiana,,,,,,,,,,,,,,,
P27,Leonardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28,Michael Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P29,Aysllan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P40,,,,,,,,,,,,,Heliakim,,Erick,,Thiago,,,,,,,,,,,,,,
P41,,,,,,,,,,,,,Teodoro,,,,,,,,,,,,,,,,,,
P42,,,,,,,,,,,,,Joaquín,,,,,,,,,,,,,,,,,,
P43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P44,Danilo,Wellington,Wellington,Wellington,Heliakim,Heliakim,Leonardo,Adriano Tahariel,Erick,Gaston,Gaston,Danilo,Gaston,Iranildo,Danilo,Danilo,Danilo,Danilo,Danilo,Danilo,Danilo,Danilo,,,,,,,,,
P45,Andres,Hernan,Hernan,Hernan,Hernan,Hernan,Michael Lopes,Gaston,Gaston,Heliakim,Heliakim,Gaston,Julian,Gaston,Gaston,Gaston,Gaston,Gaston,Gaston,Gaston,Gaston,Gaston,,,,,,,,,
P46,,,,Andres,Andres,Andres,Andres,Heliakim,Julian,Leonardo,Leonardo,Iranildo,Leonardo,Leonardo,Leonardo,Iranildo,Iranildo,Iranildo,Iranildo,Iranildo,Heliakim,Heliakim,,,,,,,,,
P47,,,,Julian,,,,Hiran Pelosi,Leonardo,Michael Lopes,Michael Lopes,Leonardo,Matias Verdugo,Andres,Michael Lopes,Joaquín,Julian,Heliakim,Heliakim,Heliakim,Julian,Julian,,,,,,,,,
P48,,,,Gaston,,,,Jo Caiana,Hernan,Aysllan,Aysllan,Michael Lopes,Thiago,Hernan,Hernan,Julian,Leonardo,Jo Caiana,Julian,Julian,Leonardo,Leonardo,,,,,,,,,
P49,,,,,,,,Leonardo,Andres,Andres,Andres,Aysllan,Hernan,,Andres,Leonardo,Michael Lopes,Julian,Leonardo,Leonardo,Michael Lopes,Michael Lopes,,,,,,,,,
P50,,,,,,,,Teodoro,,,,Hernan,Andres,,,Aysllan,Aysllan,Leonardo,Michael Lopes,Michael Lopes,Andres,Andres,,,,,,,,,
P51,,,,,,,,,,,,Andres,,,,Andres,Andres,Michael Lopes,Andres,Andres,Aysllan,Aysllan,,,,,,,,,
P52,,,,,,,,,,,,,,,,Hernan,,Hernan,Hiran Pelosi,Hiran Pelosi,Matias Verdugo,Matias Verdugo,,,,,,,,,
P53,,,,,,,,,,,,,,,,,,Andres,Aysllan,Aysllan,,,,,,,,,,,
P54,Rodrigo Guaxi,Rodrigo Guaxi,Rodrigo Guaxi,Rodrigo Guaxi,Rodrigo Guaxi,Rodrigo Guaxi,Rodrigo Guaxi,Rodrigo Guaxi,Rodrigo Guaxi,Rodrigo Guaxi,Rodrigo Guaxi,Rodrigo Guaxi,Rodrigo Guaxi,Rodrigo Guaxi,,,,,,,,,,,,,,,,,
P55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Thiago,Antonino,Antonino,Heliakim,Teodoro,Teodoro,Antonino,Thiago,Thiago,Antonino,Antonino,Wellington,,Heliakim,Rodrigo Guaxi,Heliakim,Rodrigo Guaxi,Antonino,Antonino,Rodrigo Guaxi,Rodrigo Guaxi,Rodrigo Guaxi,Antonino,Rodrigo Guaxi,,,,,,,
Pole,Antonino,,Antonino,Antonino,Julian,Antonino,Antonino,Antonino,Antonino,,Antonino,Antonino,Antonino,Antonino,Rodrigo Guaxi,Hiran Pelosi,Antonino,Antonino,,Rodrigo Guaxi,Antonino,Antonino,,Antonino,,,,,,,
DOTD,Ronaldo Lisboa,Jo Caiana,Jo Caiana,Danilo,Iranildo,Iranildo,Wellington,Aysllan,Aysllan,,Julian,Wellington,Iranildo,Wellington,Iranildo,Adriano Tahariel,Marcio Schuchter,Wellington,,,Rafael Lemes,Hiran Pelosi,,Rodrigo Guaxi,,,,,,,
CD,Julian,Leonardo,Leonardo,Antonino,Aysllan,Aysllan,Antonino,Antonino,Jo Caiana,,Teodoro,Antonino,,Marcio Schuchter,Thiago,Adriano Tahariel,Marcio Schuchter,Rafael Lemes,,Marcio Schuchter,Rafael Lemes,Rodrigo Guaxi,,Antonino,,,,,,,
